ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-07-21T00:00:00.000000000Z,35,2,6954,309.950000000,313.310000000,309.750000000,312.620000000,1087460,GLD
2025-07-22T00:00:00.000000000Z,35,2,6954,311.990000000,316.240000000,311.800000000,315.590000000,1240583,GLD
2025-07-23T00:00:00.000000000Z,35,2,6954,315.130000000,316.240000000,311.430000000,312.190000000,1180945,GLD
2025-07-24T00:00:00.000000000Z,35,2,6954,310.070000000,310.970000000,308.600000000,310.390000000,719639,GLD
2025-07-25T00:00:00.000000000Z,35,2,6954,308.920000000,309.100000000,306.210000000,307.440000000,1190049,GLD
2025-07-28T00:00:00.000000000Z,35,2,6954,307.210000000,307.540000000,304.090000000,305.210000000,886059,GLD
2025-07-29T00:00:00.000000000Z,35,2,6954,305.450000000,307.020000000,304.990000000,306.450000000,543103,GLD
2025-07-30T00:00:00.000000000Z,35,2,6954,306.430000000,307.000000000,300.960000000,302.420000000,1556317,GLD
2025-07-31T00:00:00.000000000Z,35,2,6954,304.300000000,305.080000000,302.790000000,302.860000000,921574,GLD
2025-08-01T00:00:00.000000000Z,35,2,6954,302.730000000,309.710000000,302.680000000,309.600000000,1790446,GLD
2025-08-04T00:00:00.000000000Z,35,2,6954,308.990000000,311.740000000,308.880000000,311.000000000,783919,GLD
2025-08-05T00:00:00.000000000Z,35,2,6954,310.720000000,312.240000000,308.500000000,311.440000000,741092,GLD
2025-08-06T00:00:00.000000000Z,35,2,6954,310.680000000,311.230000000,309.250000000,310.200000000,722664,GLD
2025-08-07T00:00:00.000000000Z,35,2,6954,312.260000000,314.440000000,310.400000000,313.540000000,1179132,GLD
2025-08-08T00:00:00.000000000Z,35,2,6954,313.160000000,313.510000000,311.000000000,312.980000000,2341030,GLD
2025-08-11T00:00:00.000000000Z,35,2,6954,309.700000000,309.930000000,307.630000000,308.270000000,1362103,GLD
2025-08-12T00:00:00.000000000Z,35,2,6954,308.980000000,309.300000000,306.720000000,308.500000000,981163,GLD
2025-08-13T00:00:00.000000000Z,35,2,6954,308.800000000,310.380000000,308.460000000,309.210000000,453074,GLD
2025-08-14T00:00:00.000000000Z,35,2,6954,307.830000000,309.090000000,306.520000000,306.750000000,692936,GLD
2025-08-15T00:00:00.000000000Z,35,2,6954,308.230000000,308.230000000,306.890000000,307.340000000,739939,GLD
2025-08-18T00:00:00.000000000Z,35,2,6954,308.460000000,308.550000000,306.630000000,306.660000000,526485,GLD
